#Select Statistics Per TCE From the Data Validation XML Files                   
#Mission = TESS                                                                 
#Search = tess2018206190142                                                     
#Sectors = s0001-s0003                                                          
#Created Date = 2021-09-07                                                      
#                                                                               
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00031850842-01,31850842,1,s0001-s0003,2021-09-07,2.31995,-1.0,1326.45,-1.0,2458326.4500000002,-1.0,0.27502199999999999,-1.0,11.2883,-1.0,89.492400000000004,-1.0,0.10000000000000001,-1.0,2.0,-1.0,0.43591099999999999,-1.0,295944.0,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.65602079999999996,-0.41060039999999998,0.85904239999999998,-0.40286,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,1559.8109999999999,213969.5,61637.360000000001,1765,977534.59999999998,30.024000000000001,-1.0,3.4314299999999999E-2,-1.0,1277.98,-1.0,630.40300000000002,-1.0,3,0111,5365.0,184.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TIC7,Solar,Solar,Solar,Solar,2.3199524879455602,-1.0,1326.44839627703,-1.0,2458326.4483962771,-1.0,2.77519603136931,-1.0,1.1358256808293501,-1.0,282736.26645980199,-1.0,true,580475,14302,416.87610000000001,59462.550000000003,0.00138866,2.6418900000000001,560.28200000000004,-344.57839999999999,1.1583300000000001,1.09028,583.71979999999996,1927.0150000000001,0.0,62.129570000000001,512.24310000000003,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,367.50819999999999,341.12979999999999,-0.18571799999999999,2.5008629999999998,0.03026885,2.5024670000000002,0.18816849999999999,2.5009039999999998,-0.57516560000000005,2.5355859999999999,-0.40764119999999998,2.537293,0.70497290000000001,2.5361560000000001
00031850842-02,31850842,2,s0001-s0003,2021-09-07,1.15991,-1.0,1326.45,-1.0,2458326.4500000002,-1.0,0.444795,-1.0,3.4147099999999999,-1.0,73.192899999999995,-1.0,0.98736400000000002,-1.0,2.91134,-1.0,1.45567,-1.0,85451.800000000003,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.65602079999999996,-0.41060039999999998,0.85904239999999998,-0.40286,31,mandel-agol_geometric_transit_model,true,879.93790000000001,20571.27,19340.790000000001,244.0881,5204.1610000000001,2647.127,1337,16450.18,48.558199999999999,-1.0,2.1615800000000001E-2,-1.0,1610.1800000000001,-1.0,1588.6300000000001,-1.0,3,0111,5365.0,184.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TIC7,Solar,Solar,Solar,Solar,1.15993219633883,-1.0,1326.4490593324499,-1.0,2458326.4490593323,-1.0,2.1706377456452,-1.0,0.85087393518002197,-1.0,70646.577574287701,-1.0,true,90387,15227,1.4116340000000001,123.2637,0.0475212,0.68515749999999997,6.24139,-4.7083640000000004,-0.19861000000000001,-0.158333,128.26580000000001,229.38939999999999,0.0,0.0,62.129570000000001,0.01343783,8.9150289999999997E-3,847.61469999999997,143.55699999999999,-110.6628,-4.9577960000000001,0.0,9.0674980000000005,-0.97084979999999999,1.4082859999999999,69,503.54680000000002,208.40790000000001,0.45516529999999999,2.5139779999999998,-8.4614309999999998E-2,2.554716,0.46296330000000002,2.5153500000000002,0.18313099999999999,2.5086240000000002,-0.52187680000000003,2.507361,0.55307539999999999,2.5114230000000002
00031850842-03,31850842,3,s0001-s0003,2021-09-07,17.569900000000001,-1.0,1329.27,-1.0,2458329.27,-1.0,5.0432499999999998E-2,-1.0,7.0330500000000002,-1.0,84.804900000000004,-1.0,0.636826,-1.0,16.047000000000001,-1.0,1.26302,-1.0,2726.5999999999999,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.65602079999999996,-0.41060039999999998,0.85904239999999998,-0.40286,4,mandel-agol_geometric_transit_model,true,3.999174,4908.5360000000001,6448.0640000000003,6.8462540000000001,14.801690000000001,0.62563999999999997,843,739.77340000000004,5.5057,-1.0,0.13233300000000001,-1.0,650.77099999999996,-1.0,42.387,-1.0,3,0111,5365.0,184.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TIC7,Solar,Solar,Solar,Solar,17.580551241033799,-1.0,1329.22156066144,-1.0,2458329.2215606612,-1.0,8.3392665520923206,-1.0,2.4457783574284301E-2,-1.0,3783.1282677774898,-1.0,true,687257,9155,2.742918,5415.9189999999999,-0.00141429,0.66263030000000001,7.5825100000000001,-11.82447,6.1208299999999998,-3.66528,124.2026,17.474350000000001,15.816280000000001,512.24310000000003,0.0,1721.3019999999999,708.86800000000005,6480.8599999999997,703.29330000000004,2.4268290000000001,8.2855260000000008,1.12150493133546E-10,20.443989999999999,-6.8712220000000004,3.8436180000000002,5,2.7616589999999999,-0.76850770000000002,0.24538119999999999,2.5003549999999999,-1.1226689999999999,2.5019209999999998,1.1491720000000001,2.501849,0.44107049999999998,2.5003540000000002,-1.157133,2.5019179999999999,1.238345,2.5017200000000002
00031852073-01,31852073,1,s0001-s0003,2021-09-07,29.682700000000001,-1.0,1348.97,-1.0,2458348.9700000002,-1.0,4.0692600000000002E-2,-1.0,142.65700000000001,-1.0,89.738,-1.0,0.652308,-1.0,1.2889600000000001,-1.0,8.5432400000000006E-2,-1.0,1748.45,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.45025759999999998,0.291576,-6.0740639999999999E-2,-5.1706780000000001E-2,2,mandel-agol_geometric_transit_model,true,7.4132389999999999,320.44119999999998,235.04169999999999,6.9639490000000004,5.4373560000000003,7.4499999999999997E-2,47,39.481520000000003,4.1722000000000001,-1.0,0.26463999999999999,-1.0,496.08199999999999,-1.0,14.3132,-1.0,1,0111,5967.8299999999999,160.0,4.9400000000000004,0.27000000000000002,-0.25,0.14000000000000001,0.93917499999999998,0.11133,3.3826209999999999,2.1408550000000002,TIC7,TIC7,TIC7,TIC7,TIC7-Deriv,29.669437408447301,-1.0,1348.9694355900299,-1.0,2458348.9694355899,-1.0,1.7263874274659501,-1.0,0.44457667307633297,-1.0,2655.4041013217902,-1.0,true,52109,432,2.916925,679.40170000000001,0.00991383,0.60963369999999995,4.3673299999999999,-4.1140169999999996,-0.40000000000000002,-0.216667,10.238329999999999,7.4333400000000003,0.437747,0.0,0.0,1503.779,1858.6969999999999,4776.2860000000001,1393.0440000000001,0.80851209999999996,3.0702500000000001,6.4278173041910599E-7,9.6192229999999999,-4.4780829999999998,2.4676290000000001,2,3.826444,-2.0847790000000002,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
00031852565-01,31852565,1,s0001-s0003,2021-09-07,17.109200000000001,-1.0,1339.1300000000001,-1.0,2458339.1299999999,-1.0,7.8064700000000001E-2,-1.0,32.439799999999998,-1.0,89.957400000000007,-1.0,0.0241379,-1.0,4.3433900000000003,-1.0,0.314776,-1.0,7262.9899999999998,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.71431,0.01312055,0.13992660000000001,-9.1213530000000001E-2,3,mandel-agol_geometric_transit_model,true,9.6300840000000001,2112.598,2079.183,8.5782080000000001,7.7585980000000001,10.96843,269,305.67579999999998,8.5222999999999995,-1.0,0.13000900000000001,-1.0,409.11099999999999,-1.0,6.6204099999999997,-1.0,1,0111,3343.0,0.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TIC7,Solar,Solar,Solar,Solar,17.151384353637699,-1.0,1339.0432802038099,-1.0,2458339.0432802038,-1.0,1.62084685216789,-1.0,1.3905933262071301E-4,-1.0,3539.1615421940501,-1.0,true,71775,3881,1.310846,1143.934,-0.0249799,0.65989350000000002,2.6827000000000001,-2.7600030000000002,-0.82082999999999995,7.65972,16.103490000000001,16.406690000000001,0.0,0.0,0.0,146.45760000000001,104.9327,2200.4389999999999,394.13720000000001,1.386199,4.5449359999999999,6.0871713430444597E-28,9.9751829999999995,-2.1767720000000002,1.7056849999999999,4,4.3932079999999996,1.386536,2.7857120000000002,6.6371010000000004,-0.1055851,4.7384079999999997,2.7877130000000001,6.7744710000000001,1.4337059999999999,4.9039570000000001,0.50875429999999999,3.9229069999999999,1.5212969999999999,3.8782730000000001
00031852980-01,31852980,1,s0001-s0003,2021-09-07,7.4143400000000002,-1.0,1327.1400000000001,-1.0,2458327.1400000001,-1.0,2.1150800000000001E-2,-1.0,9.1023399999999999,-1.0,84.982699999999994,-1.0,0.79606299999999997,-1.0,3.9984099999999998,-1.0,0.219026,-1.0,436.15499999999997,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.64591670000000001,-0.3654985,0.79616439999999999,-0.38174580000000002,11,mandel-agol_geometric_transit_model,true,10.81917,5006.1189999999997,6162.3850000000002,9.1282169999999994,17.460979999999999,9.3341899999999995,1119,1061.5360000000001,2.3281999999999998,-1.0,7.3252600000000001E-2,-1.0,892.21900000000005,-1.0,149.76400000000001,-1.0,2,0111,5450.0,185.0,4.4096799999999998,2.0040800000000001,0.0,0.0,1.0083,1.0083,0.92915879999999995,4.3871849999999997,TIC7,TIC7,Solar,TIC7,TIC7-Deriv,7.4152760505676296,-1.0,1327.1311116057,-1.0,2458327.1311116056,-1.0,3.7104920029081301,-1.0,0.19910191122943799,-1.0,287.90510346703502,-1.0,true,50936,8686,2.3762660000000002,124.95189999999999,0.0444955,0.57364660000000001,3.2322700000000002,-2.7976399999999999,2.00278,-0.852777,5.997522,9.8686600000000002,0.1362187,0.0,3680.5500000000002,68.049670000000006,216.7337,3962.038,498.90550000000002,0.30936429999999998,3.5618400000000001,5.8529579450972295E-19,7.8552939999999998,-0.56189820000000001,1.1829400000000001,11,6.2183520000000003,1.1175459999999999,-6.9619650000000002,8.0835380000000008,0.85225830000000002,4.3947060000000002,7.0139360000000002,8.0413910000000008,-7.1721399999999997,8.9343400000000006,0.60900849999999995,4.592295,7.1979499999999996,8.9107789999999998
00031852980-02,31852980,2,s0001-s0003,2021-09-07,24.3308,-1.0,1330.9200000000001,-1.0,2458330.9199999999,-1.0,2.3450700000000001E-2,-1.0,26.156400000000001,-1.0,88.485799999999998,-1.0,0.69119299999999995,-1.0,5.36632,-1.0,0.230878,-1.0,574.33699999999999,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.64591670000000001,-0.3654985,0.79616439999999999,-0.38174580000000002,4,mandel-agol_geometric_transit_model,true,9.6842000000000006,2383.3600000000001,2845.2150000000001,9.0618370000000006,10.40774,1.7483200000000001,597,651.79700000000003,2.58135,-1.0,0.16176299999999999,-1.0,600.404,-1.0,30.711099999999998,-1.0,2,0111,5450.0,185.0,4.4096799999999998,2.0040800000000001,0.0,0.0,1.0083,1.0083,0.92915879999999995,4.3871849999999997,TIC7,TIC7,Solar,TIC7,TIC7-Deriv,24.331938473034601,-1.0,1330.9095522708401,-1.0,2458330.909552271,-1.0,5.5466789869037001,-1.0,0.48590506994640997,-1.0,489.69363778478697,-1.0,true,47211,4321,1.9662759999999999,145.34880000000001,-0.0184355,0.61937310000000001,3.3935499999999998,-2.8236279999999998,-3.1513900000000001,3.29444,5.4306400000000004,9.2013499999999997,0.61072930000000003,3680.5500000000002,0.0,314.01519999999999,1006.75,3907.7040000000002,609.06510000000003,0.31091649999999998,4.2889860000000004,1.6153026896093901E-13,9.0168389999999992,-1.0725309999999999,1.4326030000000001,4,3.8839350000000001,0.785605,-2.245968,5.4008050000000001,4.8540619999999999,3.0783800000000001,5.3484850000000002,3.5984600000000002,-2.5931820000000001,5.1227239999999998,4.804271,3.0311680000000001,5.4594519999999997,4.3883239999999999
00031945773-01,31945773,1,s0001-s0003,2021-09-07,0.296852,-1.0,1325.45,-1.0,2458325.4500000002,-1.0,0.0132137,-1.0,2.03416,-1.0,75.534599999999998,-1.0,0.50812299999999999,-1.0,1.0459499999999999,-1.0,1.9642099999999999E-2,-1.0,195.26499999999999,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.64644740000000001,-0.36563079999999998,0.79534890000000003,-0.38132129999999997,243,mandel-agol_geometric_transit_model,true,9.7382729999999995,32443.43,38846.959999999999,8.4252749999999992,244.05029999999999,233.78980000000001,6969,6583.3940000000002,1.58663,-1.0,8.5714499999999996E-3,-1.0,2723.1799999999998,-1.0,12996.5,-1.0,2,0111,5448.0,185.0,4.33392,0.38134299999999999,0.0,0.0,1.09989,0.197603,0.71543559999999995,0.64122029999999997,TIC7,TIC7,Solar,TIC7,TIC7-Deriv,0.29682630300521901,-1.0,1325.4510306557499,-1.0,2458325.4510306558,-1.0,2.0587289368473001,-1.0,1.0290414814296001,-1.0,347.56511308679501,-1.0,true,50908,24925,9.7376430000000003,189.17169999999999,-0.253582,4.9466650000000003,10.094620000000001,-7.6317579999999996,0.14960000000000001,0.203771,3.9860769999999999,7.4827000000000004,2.5919389999999999E-4,0.0,2.7107099999999998E-7,3.0373190000000001,7.1903430000000004,5558.2690000000002,3188.6599999999999,0.28334090000000001,0.88160329999999998,-1.0,-1.0,-1.0,-1.0,-1,-9.2659070000000003,23.10436,-56.702309999999997,2.5157759999999998,29.158740000000002,2.500791,63.760359999999999,2.5126499999999998,-57.603209999999997,2.5259490000000002,29.0138,2.5197240000000001,64.497519999999994,2.5246909999999998
00031945773-02,31945773,2,s0001-s0003,2021-09-07,0.29688599999999998,-1.0,1325.5899999999999,-1.0,2458325.5899999999,-1.0,1.2922899999999999E-2,-1.0,1.8556600000000001,-1.0,77.077200000000005,-1.0,0.41499599999999998,-1.0,1.21614,-1.0,2.0609599999999999E-2,-1.0,190.90199999999999,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.64644740000000001,-0.36563079999999998,0.79534890000000003,-0.38132129999999997,244,mandel-agol_geometric_transit_model,true,11.745939999999999,23674.029999999999,22225.459999999999,11.150180000000001,240.54820000000001,336.35309999999998,6784,8540.3169999999991,1.55172,-1.0,8.5721200000000008E-3,-1.0,2723.0700000000002,-1.0,12994.5,-1.0,2,0111,5448.0,185.0,4.33392,0.38134299999999999,0.0,0.0,1.09989,0.197603,0.71543559999999995,0.64122029999999997,TIC7,TIC7,Solar,TIC7,TIC7-Deriv,0.29679576796281099,-1.0,1325.30109044348,-1.0,2458325.3010904435,-1.0,2.4388754966933099,-1.0,1.21645395028589,-1.0,316.26388041185601,-1.0,true,24923,23448,0.0,0.0,-0.808797,0.44904159999999999,0.0,-1.87355,0.14721999999999999,0.0763889,4.4475939999999996,10.09136,1.498291,2.7107099999999998E-7,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-8.0331340000000004,25.294260000000001,-56.736040000000003,2.5156649999999998,29.124839999999999,2.5004029999999999,63.77487,2.5124900000000001,-57.444159999999997,2.5437029999999998,28.942519999999998,2.5332189999999999,64.323409999999996,2.5415839999999998
00031998499-01,31998499,1,s0001-s0003,2021-09-07,0.34004600000000001,-1.0,1354.26,-1.0,2458354.2599999998,-1.0,0.0570202,-1.0,1.42567,-1.0,46.0351,-1.0,0.98972700000000002,-1.0,0.96130400000000005,-1.0,0.48065200000000002,-1.0,1452.95,-1.0,0.0,-1.0,0.0,-1.0,claret_tess_nonlinear_limb_darkening_model,0.37345699999999998,0.5252464,-0.35817719999999997,0.07068178,132,mandel-agol_geometric_transit_model,true,39.201369999999997,12672.049999999999,14999.629999999999,34.902659999999997,242.74770000000001,210.27809999999999,1905,1867.6420000000001,7.3753700000000002,-1.0,0.0114626,-1.0,2695.3000000000002,-1.0,12472.4,-1.0,1,0011,6008.0,54.0,4.5300000000000002,0.11,-0.39000000000000001,0.10000000000000001,1.18482,0.13861599999999999,1.0431520000000001,0.29103830000000003,TIC7,TIC7,TIC7,TIC7,TIC7-Deriv,0.34003639221191401,-1.0,1354.2631046946401,-1.0,2458354.2631046944,-1.0,0.91754657454251998,-1.0,0.35013649898393701,-1.0,1391.8715144980899,-1.0,true,32671,15594,1.227705,47.242359999999998,-0.297869,0.74290610000000001,1.81534,-1.9291990000000001,0.21295,0.0666667,5.8050069999999998,28.24174,27.977129999999999,0.0,0.0,6.2777349999999996E-2,9.4816929999999994E-2,2085.924,781.85680000000002,-9.8845500000000008,-0.76921240000000002,7.8628321070376202E-146,7.870482,7.6349719999999996E-2,1.0964210000000001,153,22.992699999999999,5.0337319999999997,0.95441330000000002,4.3112389999999996,3.251843,5.8334859999999997,3.3890099999999999,5.7275470000000004,-1.6723680000000001,4.6513809999999998,2.147831,6.0394209999999999,2.7221299999999999,5.5564109999999998
