# TESS ROOT MEAN SQUARE (RMS) COMBINED DIFFERENTIAL PHOTOMETRIC PRECISION (CDPP)
# Sector: 4;  Native Cadence: 2-min;  TPS Pipeline Instance: 407
#
# TESS Science Processing Operations Center
# NASA Ames Research Center
#
# Columns:
#     ticid - TIC Identifier (Stassun et al. 2018)
#     tmag - TESS Magnitude (Stassun et al. 2018)
#     rrmscdpp00p5 - Robust RMS CDPP (ppm) at 0.5 hr
#     rrmscdpp01p0 - Robust RMS CDPP (ppm) at 1.0 hr
#     rrmscdpp01p5 - Robust RMS CDPP (ppm) at 1.5 hr
#     rrmscdpp02p0 - Robust RMS CDPP (ppm) at 2.0 hr
#     rrmscdpp02p5 - Robust RMS CDPP (ppm) at 2.5 hr
#     rrmscdpp03p0 - Robust RMS CDPP (ppm) at 3.0 hr
#     rrmscdpp03p5 - Robust RMS CDPP (ppm) at 3.5 hr
#     rrmscdpp04p5 - Robust RMS CDPP (ppm) at 4.5 hr
#     rrmscdpp05p0 - Robust RMS CDPP (ppm) at 5.0 hr
#     rrmscdpp06p0 - Robust RMS CDPP (ppm) at 6.0 hr
#     rrmscdpp07p5 - Robust RMS CDPP (ppm) at 7.5 hr
#     rrmscdpp09p0 - Robust RMS CDPP (ppm) at 9.0 hr
#     rrmscdpp10p5 - Robust RMS CDPP (ppm) at 10.5 hr
#     rrmscdpp12p5 - Robust RMS CDPP (ppm) at 12.5 hr
#     rrmscdpp15p0 - Robust RMS CDPP (ppm) at 15.0 hr
#
# Generated on 04-Apr-2025 14:44:56 (Pacific)
#
ticid, tmag,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0
1024991,12.176,1100.070,794.912,669.924,598.407,547.900,509.432,478.043,430.797,413.019,386.546,360.570,343.261,330.245,316.093,301.355
1025149,10.638,409.249,302.475,254.644,227.358,206.981,191.907,179.782,161.026,153.597,141.471,127.871,117.824,110.245,102.682,95.805
1025574,9.031,179.313,132.350,112.119,100.598,93.625,88.850,85.487,81.310,79.680,77.519,75.031,72.991,71.401,69.783,68.127
1028584,12.297,1095.366,805.712,682.860,610.577,573.249,538.919,512.629,474.813,461.179,438.766,414.151,395.493,380.586,363.910,346.233
1028594,7.949,124.724,96.073,83.933,77.152,73.794,70.650,68.024,63.907,62.490,60.621,59.636,59.749,60.306,61.095,61.477
1028614,9.275,213.989,159.015,134.238,122.833,117.382,112.753,109.834,106.885,106.229,105.825,106.012,106.390,107.024,108.310,109.482
1028751,8.277,139.511,112.125,101.633,96.635,88.700,86.956,86.333,86.804,87.688,89.408,91.185,91.326,90.663,89.460,86.728
1028816,8.437,163.430,137.465,133.624,135.630,144.143,150.683,155.858,157.940,156.283,153.580,148.286,139.510,129.985,119.049,107.560
1029392,10.489,851.604,1094.637,1219.681,1349.281,1405.984,1471.224,1539.026,1670.881,1716.965,1816.069,1947.657,2069.359,2247.079,2409.883,2614.836
1029624,9.205,219.419,184.825,175.063,171.136,170.165,166.757,162.052,149.129,142.773,131.481,117.981,107.156,98.722,90.301,82.848
1030078,8.332,123.214,90.061,77.968,70.037,65.681,61.669,58.614,54.175,52.662,50.178,47.703,46.163,45.259,44.726,44.745
1030288,9.747,272.867,201.654,169.295,150.953,141.009,131.371,123.823,112.697,108.430,102.040,95.484,90.992,87.698,84.452,81.546
1030555,10.605,418.195,315.534,274.136,247.900,232.001,220.279,211.401,198.813,194.524,188.215,182.588,179.193,176.766,174.094,170.239
